Post_ID;Platform;Hashtag;Content_Type;Region;Views;Likes;Shares;Comments;Engagement_Level
Post_1;TikTok;#Challenge;Video;UK;4163464;339431;53135;19346;High
Post_2;Instagram;#Education;Shorts;India;4155940;215240;65860;27239;Medium
Post_3;Twitter;#Challenge;Video;Brazil;3666211;327143;39423;36223;Medium
Post_4;YouTube;#Education;Shorts;Australia;917951;127125;11687;36806;Low
Post_5;TikTok;#Dance;Post;Brazil;64866;171361;69581;6376;Medium
Post_6;Instagram;#Challenge;Shorts;Australia;1323566;136282;86979;47129;Low
Post_7;YouTube;#Comedy;Tweet;Japan;627233;84121;97973;32648;Medium
Post_8;YouTube;#Gaming;Shorts;UK;2066886;317502;45222;33638;High
Post_9;Twitter;#Education;Live Stream;India;2169523;496078;96041;30174;Medium
Post_10;TikTok;#Gaming;Shorts;India;3898384;8634;69378;42700;Low
Post_11;Instagram;#Comedy;Live Stream;Germany;4070332;379894;46012;25242;High
Post_12;Twitter;#Music;Reel;Australia;4585669;465871;69083;8999;Medium
Post_13;YouTube;#Viral;Shorts;Canada;4105651;195560;37627;49089;High
Post_14;YouTube;#Fitness;Reel;Japan;1633015;312907;45774;30725;High
Post_15;Twitter;#Comedy;Post;Germany;2471790;370802;54110;17081;High
Post_16;YouTube;#Gaming;Live Stream;Canada;3079923;124237;44062;26702;Medium
Post_17;Twitter;#Dance;Reel;UK;294870;213142;20351;20767;Low
Post_18;TikTok;#Tech;Shorts;UK;2051091;24472;54704;41737;Medium
Post_19;TikTok;#Fashion;Post;USA;3461154;165335;50077;19505;Low
Post_20;YouTube;#Education;Tweet;UK;3143932;298685;84720;37162;Low
Post_21;Twitter;#Gaming;Video;Brazil;14095;268310;90495;16968;Low
Post_22;TikTok;#Viral;Live Stream;USA;3924406;35376;72832;3949;Medium
Post_23;YouTube;#Dance;Shorts;Brazil;599766;223690;22531;10538;Low
Post_24;Twitter;#Education;Shorts;Japan;4357851;449803;63438;28280;High
Post_25;YouTube;#Dance;Tweet;Germany;731492;474649;98377;3654;High
Post_26;YouTube;#Dance;Live Stream;Brazil;4910814;197287;53218;14896;Low
Post_27;Instagram;#Gaming;Video;India;4369260;212278;21264;18172;Low
Post_28;YouTube;#Tech;Post;Canada;1874437;322601;35671;48768;Medium
Post_29;Instagram;#Gaming;Live Stream;Canada;1653907;91836;77370;2823;Low
